date,season,tm_home,tm_away,pts_home,pts_away,prob_home
2005-11-01,2005,NOP,SAC,93,67,0.24826444761160407
2005-11-01,2005,PHI,MIL,108,117,0.6730461707697165
2005-11-01,2005,PHO,DAL,108,111,0.45685279187817257
2005-11-01,2005,SAS,DEN,102,91,0.7305317733738104
2005-11-02,2005,BOS,NYK,114,100,0.5990800596718051
2005-11-02,2005,BRK,MIL,96,110,0.789141393542914
2005-11-02,2005,CHI,CHO,109,105,0.8230347431471681
2005-11-02,2005,CLE,NOP,109,87,0.8917399051220558
2005-11-02,2005,DEN,LAL,97,99,0.7184684684684686
2005-11-02,2005,DET,PHI,108,88,0.789141393542914
2005-11-02,2005,GSW,ATL,122,97,0.8917399051220558
2005-11-02,2005,HOU,SAC,98,89,0.7305317733738104
2005-11-02,2005,MEM,MIA,78,97,0.34414055424741896
2005-11-02,2005,MIN,POR,90,86,0.8490646342280425
2005-11-02,2005,OKC,LAC,93,101,0.6932487904343705
2005-11-02,2005,ORL,IND,78,90,0.26698229308872284
2005-11-02,2005,TOR,WAS,96,99,0.4759806081974437
2005-11-02,2005,UTA,DAL,93,82,0.4179498460184778
2005-11-03,2005,LAL,PHO,112,122,0.5616080589497249
2005-11-03,2005,MIA,IND,102,105,0.6730461707697165
2005-11-04,2005,BOS,DET,81,82,0.3795145550087581
2005-11-04,2005,DEN,POR,107,68,0.8670618880804816
2005-11-04,2005,GSW,UTA,85,91,0.6730461707697165
2005-11-04,2005,LAC,ATL,92,77,0.8351245428894727
2005-11-04,2005,NYK,WAS,75,86,0.5990800596718051
2005-11-04,2005,OKC,MIN,107,102,0.6349897540983607
2005-11-04,2005,ORL,MEM,85,94,0.4179498460184778
2005-11-04,2005,PHI,CHO,93,110,0.7305317733738104
2005-11-04,2005,SAS,CLE,102,76,0.7505221629148294
2005-11-04,2005,TOR,BRK,92,102,0.36327734389833294
2005-11-05,2005,BRK,CHI,100,99,0.6730461707697165
2005-11-05,2005,CHO,BOS,107,105,0.5
2005-11-05,2005,DAL,SAS,103,84,0.4908340971585702
2005-11-05,2005,DET,TOR,117,84,0.8670618880804816
2005-11-05,2005,HOU,NOP,84,91,0.8490646342280425
2005-11-05,2005,IND,PHI,109,111,0.8490646342280425
2005-11-05,2005,LAC,MIN,100,99,0.6554939057667819
2005-11-05,2005,MEM,CLE,113,106,0.5293662562052738
2005-11-05,2005,MIL,MIA,105,100,0.5067750677506776
2005-11-05,2005,POR,ATL,94,93,0.7305317733738104
2005-11-05,2005,UTA,PHO,88,97,0.43762053107847504
2005-11-05,2005,WAS,ORL,87,79,0.774868986910441
2005-11-06,2005,LAL,DEN,112,92,0.5162468054034319
2005-11-06,2005,NYK,GSW,81,83,0.5990800596718051
2005-11-06,2005,PHO,SAC,117,118,0.6185623601278026
2005-11-07,2005,CHO,UTA,91,95,0.5067750677506776
2005-11-07,2005,CHI,SAS,95,104,0.34414055424741896
2005-11-07,2005,MIA,BRK,90,89,0.6185623601278026
2005-11-07,2005,MIN,LAC,93,78,0.6554939057667819
2005-11-07,2005,TOR,CLE,93,105,0.2897350993377483
2005-11-08,2005,ATL,LAL,97,103,0.34414055424741896
2005-11-08,2005,HOU,ORL,74,76,0.774868986910441
2005-11-08,2005,MEM,OKC,94,69,0.6349897540983607
2005-11-08,2005,MIL,GSW,103,110,0.6349897540983607
2005-11-08,2005,SAC,DET,88,102,0.45685279187817257
2005-11-09,2005,BOS,MEM,99,98,0.6185623601278026
2005-11-09,2005,BRK,UTA,91,83,0.7305317733738104
2005-11-09,2005,CHO,SAS,86,94,0.24826444761160407
2005-11-09,2005,CHI,GSW,85,84,0.6554939057667819
2005-11-09,2005,CLE,OKC,112,85,0.774868986910441
2005-11-09,2005,DEN,SAC,107,91,0.7505221629148294
2005-11-09,2005,IND,MIA,95,90,0.6932487904343705
2005-11-09,2005,MIN,LAL,88,74,0.6932487904343705
2005-11-09,2005,NOP,ORL,83,88,0.6349897540983607
2005-11-09,2005,PHI,DAL,112,97,0.36327734389833294
2005-11-09,2005,POR,NYK,95,83,0.45685279187817257
2005-11-09,2005,WAS,LAC,97,102,0.5697382574399427
2005-11-10,2005,ATL,LAC,95,102,0.36327734389833294
2005-11-10,2005,MIA,HOU,88,84,0.6730461707697165
