type,value
base,date
base,season
base,tm_home
base,tm_away
base,pts_home
base,pts_away
base,pd_h2a
base,prob_h2a
base,pts_total
base,tm
base,tm_opp
base,prob
base,prob_opp
base,pd
base,pd_opp
calc,tm_winner
calc,result
calc,g
calc,hfa
calc,w
calc,g_td
calc,w_td
calc,l_td
calc,t_td
calc,hfa_td
calc,hfa_inv_td
calc,pf_td
calc,pa_td
calc,pd_td
calc,wp_td
calc,dist
calc,dist_td
calc,g_last7
calc,dist_last7
calc,drest
calc,drest_2
calc,b2b
calc,no2drestin4
calc,no2drestin5
calc,rtrip
calc,hstand
calc_opp,tm_winner_opp
calc_opp,result_opp
calc_opp,g_opp
calc_opp,hfa_opp
calc_opp,w_opp
calc_opp,g_td_opp
calc_opp,w_td_opp
calc_opp,l_td_opp
calc_opp,t_td_opp
calc_opp,hfa_td_opp
calc_opp,hfa_inv_td_opp
calc_opp,pf_td_opp
calc_opp,pa_td_opp
calc_opp,pd_td_opp
calc_opp,wp_td_opp
calc_opp,dist_opp
calc_opp,dist_td_opp
calc_opp,g_last7_opp
calc_opp,dist_last7_opp
calc_opp,drest_opp
calc_opp,drest_2_opp
calc_opp,b2b_opp
calc_opp,no2drestin4_opp
calc_opp,no2drestin5_opp
calc_opp,rtrip_opp
calc_opp,hstand_opp
off_1g,fg_off_1g
off_1g,fga_off_1g
off_1g,fgpct_off_1g
off_1g,2p_off_1g
off_1g,2pa_off_1g
off_1g,2ppct_off_1g
off_1g,3p_off_1g
off_1g,3pa_off_1g
off_1g,3ppct_off_1g
off_1g,ft_off_1g
off_1g,fta_off_1g
off_1g,ftpct_off_1g
off_1g,ortg_off_1g
off_1g,ftr_off_1g
off_1g,3par_off_1g
off_1g,tspct_off_1g
off_1g,efgpct_off_1g
off_1g,ftpfga_off_1g
off_1g,orbpct_off_1g
off_1g,trbpct_off_1g
off_1g,astpct_off_1g
off_1g,stlpct_off_1g
off_1g,blkpct_off_1g
off_1g,tovpct_off_1g
off_1g,mp_off_1g
def_1g,fg_def_1g
def_1g,fga_def_1g
def_1g,fgpct_def_1g
def_1g,2p_def_1g
def_1g,2pa_def_1g
def_1g,2ppct_def_1g
def_1g,3p_def_1g
def_1g,3pa_def_1g
def_1g,3ppct_def_1g
def_1g,ft_def_1g
def_1g,fta_def_1g
def_1g,ftpct_def_1g
def_1g,ortg_def_1g
def_1g,ftr_def_1g
def_1g,3par_def_1g
def_1g,tspct_def_1g
def_1g,efgpct_def_1g
def_1g,ftpfga_def_1g
def_1g,orbpct_def_1g
def_1g,trbpct_def_1g
def_1g,astpct_def_1g
def_1g,stlpct_def_1g
def_1g,blkpct_def_1g
def_1g,tovpct_def_1g
def_1g,mp_def_1g
off_td,fg_off_td
off_td,fga_off_td
off_td,fgpct_off_td
off_td,2p_off_td
off_td,2pa_off_td
off_td,2ppct_off_td
off_td,3p_off_td
off_td,3pa_off_td
off_td,3ppct_off_td
off_td,ft_off_td
off_td,fta_off_td
off_td,ftpct_off_td
off_td,ortg_off_td
off_td,ftr_off_td
off_td,3par_off_td
off_td,tspct_off_td
off_td,efgpct_off_td
off_td,ftpfga_off_td
off_td,orbpct_off_td
off_td,trbpct_off_td
off_td,astpct_off_td
off_td,stlpct_off_td
off_td,blkpct_off_td
off_td,tovpct_off_td
off_td,mp_off_td
def_td,fg_def_td
def_td,fga_def_td
def_td,fgpct_def_td
def_td,2p_def_td
def_td,2pa_def_td
def_td,2ppct_def_td
def_td,3p_def_td
def_td,3pa_def_td
def_td,3ppct_def_td
def_td,ft_def_td
def_td,fta_def_td
def_td,ftpct_def_td
def_td,ortg_def_td
def_td,ftr_def_td
def_td,3par_def_td
def_td,tspct_def_td
def_td,efgpct_def_td
def_td,ftpfga_def_td
def_td,orbpct_def_td
def_td,trbpct_def_td
def_td,astpct_def_td
def_td,stlpct_def_td
def_td,blkpct_def_td
def_td,tovpct_def_td
def_td,mp_def_td
off_td_opp,fg_off_td_opp
off_td_opp,fga_off_td_opp
off_td_opp,fgpct_off_td_opp
off_td_opp,2p_off_td_opp
off_td_opp,2pa_off_td_opp
off_td_opp,2ppct_off_td_opp
off_td_opp,3p_off_td_opp
off_td_opp,3pa_off_td_opp
off_td_opp,3ppct_off_td_opp
off_td_opp,ft_off_td_opp
off_td_opp,fta_off_td_opp
off_td_opp,ftpct_off_td_opp
off_td_opp,ortg_off_td_opp
off_td_opp,ftr_off_td_opp
off_td_opp,3par_off_td_opp
off_td_opp,tspct_off_td_opp
off_td_opp,efgpct_off_td_opp
off_td_opp,ftpfga_off_td_opp
off_td_opp,orbpct_off_td_opp
off_td_opp,trbpct_off_td_opp
off_td_opp,astpct_off_td_opp
off_td_opp,stlpct_off_td_opp
off_td_opp,blkpct_off_td_opp
off_td_opp,tovpct_off_td_opp
off_td_opp,mp_off_td_opp
def_td_opp,fg_def_td_opp
def_td_opp,fga_def_td_opp
def_td_opp,fgpct_def_td_opp
def_td_opp,2p_def_td_opp
def_td_opp,2pa_def_td_opp
def_td_opp,2ppct_def_td_opp
def_td_opp,3p_def_td_opp
def_td_opp,3pa_def_td_opp
def_td_opp,3ppct_def_td_opp
def_td_opp,ft_def_td_opp
def_td_opp,fta_def_td_opp
def_td_opp,ftpct_def_td_opp
def_td_opp,ortg_def_td_opp
def_td_opp,ftr_def_td_opp
def_td_opp,3par_def_td_opp
def_td_opp,tspct_def_td_opp
def_td_opp,efgpct_def_td_opp
def_td_opp,ftpfga_def_td_opp
def_td_opp,orbpct_def_td_opp
def_td_opp,trbpct_def_td_opp
def_td_opp,astpct_def_td_opp
def_td_opp,stlpct_def_td_opp
def_td_opp,blkpct_def_td_opp
def_td_opp,tovpct_def_td_opp
def_td_opp,mp_def_td_opp
