date,tm_home,tm_away,pts_away,pts_home,season
2016-10-25,CLE,NY,88,117,2017
2016-10-25,GS,SA,129,100,2017
2016-10-25,POR,UTAH,104,113,2017
2016-10-26,BOS,BKN,117,122,2017
2016-10-26,IND,DAL,121,130,2017
2016-10-26,LAL,HOU,114,120,2017
2016-10-26,MEM,MIN,98,102,2017
2016-10-26,MIL,CHA,107,96,2017
2016-10-26,NO,DEN,107,102,2017
2016-10-26,ORL,MIA,108,96,2017
2016-10-26,PHI,OKC,103,97,2017
2016-10-26,PHX,SAC,113,94,2017
2016-10-26,TOR,DET,91,109,2017
2016-10-27,ATL,WAS,99,114,2017
2016-10-27,CHI,BOS,99,105,2017
2016-10-27,POR,LAC,114,106,2017
2016-10-27,SAC,SA,102,94,2017
2016-10-28,BKN,IND,94,103,2017
2016-10-28,DAL,HOU,106,98,2017
2016-10-28,DET,ORL,82,108,2017
2016-10-28,MIA,CHA,97,91,2017
2016-10-28,NO,GS,122,114,2017
2016-10-28,OKC,PHX,110,113,2017
2016-10-28,TOR,CLE,94,91,2017
2016-10-28,UTAH,LAL,89,96,2017
2016-10-29,CHI,IND,101,118,2017
2016-10-29,CHA,BOS,104,98,2017
2016-10-29,CLE,ORL,99,105,2017
2016-10-29,DEN,POR,115,113,2017
2016-10-29,MIL,BKN,108,110,2017
2016-10-29,NY,MEM,104,111,2017
2016-10-29,PHI,ATL,104,72,2017
2016-10-29,SAC,MIN,103,106,2017
2016-10-29,SA,NO,79,98,2017
2016-10-30,DET,MIL,83,98,2017
2016-10-30,HOU,DAL,92,93,2017
2016-10-30,LAC,UTAH,75,88,2017
2016-10-30,MEM,WAS,103,112,2017
2016-10-30,MIA,SA,106,99,2017
2016-10-30,OKC,LAL,96,113,2017
2016-10-30,PHX,GS,106,100,2017
2016-10-31,ATL,SAC,95,106,2017
2016-10-31,BKN,CHI,118,88,2017
2016-10-31,LAC,PHX,98,116,2017
2016-10-31,TOR,DEN,102,105,2017
2016-11-01,CLE,HOU,120,128,2017
2016-11-01,DET,NY,89,102,2017
2016-11-01,IND,LAL,108,115,2017
2016-11-01,MIA,SAC,96,108,2017
2016-11-01,MIN,MEM,80,116,2017
2016-11-01,NO,MIL,117,113,2017
2016-11-01,PHI,ORL,103,101,2017
2016-11-01,POR,GS,127,104,2017
2016-11-01,SA,UTAH,106,91,2017
2016-11-02,ATL,LAL,123,116,2017
2016-11-02,BOS,CHI,100,107,2017
2016-11-02,BKN,DET,101,109,2017
2016-11-02,CHA,PHI,93,109,2017
2016-11-02,LAC,OKC,85,83,2017
2016-11-02,MEM,NO,83,89,2017
2016-11-02,NY,HOU,118,99,2017
2016-11-02,PHX,POR,115,118,2017
2016-11-02,UTAH,DAL,81,97,2017
2016-11-02,WAS,TOR,113,103,2017
2016-11-03,CLE,BOS,122,128,2017
2016-11-03,GS,OKC,96,122,2017
2016-11-03,MIL,IND,107,125,2017
2016-11-03,MIN,DEN,102,99,2017
2016-11-03,ORL,SAC,94,102,2017
2016-11-04,BKN,CHA,99,95,2017
2016-11-04,CHI,NY,117,104,2017
2016-11-04,DAL,POR,105,95,2017
2016-11-04,LAL,GS,97,117,2017
2016-11-04,MEM,LAC,99,88,2017
2016-11-04,NO,PHX,112,111,2017
2016-11-04,TOR,MIA,87,96,2017
2016-11-04,UTAH,SA,100,86,2017
2016-11-04,WAS,ATL,92,95,2017
2016-11-05,ATL,HOU,97,112,2017
2016-11-05,DET,DEN,86,103,2017
2016-11-05,IND,CHI,94,111,2017
2016-11-05,MIL,SAC,91,117,2017
2016-11-05,OKC,MIN,92,112,2017
2016-11-05,ORL,WAS,86,88,2017
2016-11-05,PHI,CLE,102,101,2017
2016-11-05,SA,LAC,116,92,2017
2016-11-06,BOS,DEN,123,107,2017
2016-11-06,DAL,MIL,75,86,2017
2016-11-06,LAL,PHX,108,119,2017
2016-11-06,MEM,POR,100,94,2017
2016-11-06,NY,UTAH,114,109,2017
2016-11-06,TOR,SAC,96,91,2017
2016-11-07,CHI,ORL,80,112,2017
2016-11-07,CHA,IND,100,122,2017
2016-11-07,GS,NO,106,116,2017
2016-11-07,LAC,DET,82,114,2017
2016-11-07,OKC,MIA,85,97,2017
2016-11-07,PHI,UTAH,109,84,2017
2016-11-07,WAS,HOU,114,106,2017
2016-11-08,BKN,MIN,110,119,2017
2016-11-08,CLE,ATL,110,106,2017
2016-11-08,LAL,DAL,109,97,2017
2016-11-08,MEM,DEN,107,108,2017
2016-11-08,POR,PHX,121,124,2017
2016-11-08,SAC,NO,94,102,2017
2016-11-09,ATL,CHI,107,115,2017
2016-11-09,CHA,UTAH,98,104,2017
2016-11-09,GS,DAL,95,116,2017
2016-11-09,IND,PHI,115,122,2017
2016-11-09,LAC,POR,80,111,2017
2016-11-09,NY,BKN,96,110,2017
2016-11-09,OKC,TOR,112,102,2017
