"date","tm_home","tm_away","pts_away","pts_home","season"
2016-10-25,"Cleveland Cavaliers","New York Knicks",88,117,2017
2016-10-25,"Golden State Warriors","San Antonio Spurs",129,100,2017
2016-10-25,"Portland Trail Blazers","Utah Jazz",104,113,2017
2016-10-26,"Boston Celtics","Brooklyn Nets",117,122,2017
2016-10-26,"Indiana Pacers","Dallas Mavericks",121,130,2017
2016-10-26,"Los Angeles Lakers","Houston Rockets",114,120,2017
2016-10-26,"Memphis Grizzlies","Minnesota Timberwolves",98,102,2017
2016-10-26,"Milwaukee Bucks","Charlotte Hornets",107,96,2017
2016-10-26,"New Orleans Pelicans","Denver Nuggets",107,102,2017
2016-10-26,"Orlando Magic","Miami Heat",108,96,2017
2016-10-26,"Philadelphia 76ers","Oklahoma City Thunder",103,97,2017
2016-10-26,"Phoenix Suns","Sacramento Kings",113,94,2017
2016-10-26,"Toronto Raptors","Detroit Pistons",91,109,2017
2016-10-27,"Atlanta Hawks","Washington Wizards",99,114,2017
2016-10-27,"Chicago Bulls","Boston Celtics",99,105,2017
2016-10-27,"Portland Trail Blazers","Los Angeles Clippers",114,106,2017
2016-10-27,"Sacramento Kings","San Antonio Spurs",102,94,2017
2016-10-28,"Brooklyn Nets","Indiana Pacers",94,103,2017
2016-10-28,"Dallas Mavericks","Houston Rockets",106,98,2017
2016-10-28,"Detroit Pistons","Orlando Magic",82,108,2017
2016-10-28,"Miami Heat","Charlotte Hornets",97,91,2017
2016-10-28,"New Orleans Pelicans","Golden State Warriors",122,114,2017
2016-10-28,"Oklahoma City Thunder","Phoenix Suns",110,113,2017
2016-10-28,"Toronto Raptors","Cleveland Cavaliers",94,91,2017
2016-10-28,"Utah Jazz","Los Angeles Lakers",89,96,2017
2016-10-29,"Chicago Bulls","Indiana Pacers",101,118,2017
2016-10-29,"Charlotte Hornets","Boston Celtics",104,98,2017
2016-10-29,"Cleveland Cavaliers","Orlando Magic",99,105,2017
2016-10-29,"Denver Nuggets","Portland Trail Blazers",115,113,2017
2016-10-29,"Milwaukee Bucks","Brooklyn Nets",108,110,2017
2016-10-29,"New York Knicks","Memphis Grizzlies",104,111,2017
2016-10-29,"Philadelphia 76ers","Atlanta Hawks",104,72,2017
2016-10-29,"Sacramento Kings","Minnesota Timberwolves",103,106,2017
2016-10-29,"San Antonio Spurs","New Orleans Pelicans",79,98,2017
2016-10-30,"Detroit Pistons","Milwaukee Bucks",83,98,2017
2016-10-30,"Houston Rockets","Dallas Mavericks",92,93,2017
2016-10-30,"Los Angeles Clippers","Utah Jazz",75,88,2017
2016-10-30,"Memphis Grizzlies","Washington Wizards",103,112,2017
2016-10-30,"Miami Heat","San Antonio Spurs",106,99,2017
2016-10-30,"Oklahoma City Thunder","Los Angeles Lakers",96,113,2017
2016-10-30,"Phoenix Suns","Golden State Warriors",106,100,2017
2016-10-31,"Atlanta Hawks","Sacramento Kings",95,106,2017
2016-10-31,"Brooklyn Nets","Chicago Bulls",118,88,2017
2016-10-31,"Los Angeles Clippers","Phoenix Suns",98,116,2017
2016-10-31,"Toronto Raptors","Denver Nuggets",102,105,2017
2016-11-01,"Cleveland Cavaliers","Houston Rockets",120,128,2017
2016-11-01,"Detroit Pistons","New York Knicks",89,102,2017
2016-11-01,"Indiana Pacers","Los Angeles Lakers",108,115,2017
2016-11-01,"Miami Heat","Sacramento Kings",96,108,2017
2016-11-01,"Minnesota Timberwolves","Memphis Grizzlies",80,116,2017
2016-11-01,"New Orleans Pelicans","Milwaukee Bucks",117,113,2017
2016-11-01,"Philadelphia 76ers","Orlando Magic",103,101,2017
2016-11-01,"Portland Trail Blazers","Golden State Warriors",127,104,2017
2016-11-01,"San Antonio Spurs","Utah Jazz",106,91,2017
2016-11-02,"Atlanta Hawks","Los Angeles Lakers",123,116,2017
2016-11-02,"Boston Celtics","Chicago Bulls",100,107,2017
2016-11-02,"Brooklyn Nets","Detroit Pistons",101,109,2017
2016-11-02,"Charlotte Hornets","Philadelphia 76ers",93,109,2017
2016-11-02,"Los Angeles Clippers","Oklahoma City Thunder",85,83,2017
2016-11-02,"Memphis Grizzlies","New Orleans Pelicans",83,89,2017
2016-11-02,"New York Knicks","Houston Rockets",118,99,2017
2016-11-02,"Phoenix Suns","Portland Trail Blazers",115,118,2017
2016-11-02,"Utah Jazz","Dallas Mavericks",81,97,2017
2016-11-02,"Washington Wizards","Toronto Raptors",113,103,2017
2016-11-03,"Cleveland Cavaliers","Boston Celtics",122,128,2017
2016-11-03,"Golden State Warriors","Oklahoma City Thunder",96,122,2017
2016-11-03,"Milwaukee Bucks","Indiana Pacers",107,125,2017
2016-11-03,"Minnesota Timberwolves","Denver Nuggets",102,99,2017
2016-11-03,"Orlando Magic","Sacramento Kings",94,102,2017
2016-11-04,"Brooklyn Nets","Charlotte Hornets",99,95,2017
2016-11-04,"Chicago Bulls","New York Knicks",117,104,2017
2016-11-04,"Dallas Mavericks","Portland Trail Blazers",105,95,2017
2016-11-04,"Los Angeles Lakers","Golden State Warriors",97,117,2017
2016-11-04,"Memphis Grizzlies","Los Angeles Clippers",99,88,2017
2016-11-04,"New Orleans Pelicans","Phoenix Suns",112,111,2017
2016-11-04,"Toronto Raptors","Miami Heat",87,96,2017
2016-11-04,"Utah Jazz","San Antonio Spurs",100,86,2017
2016-11-04,"Washington Wizards","Atlanta Hawks",92,95,2017
2016-11-05,"Atlanta Hawks","Houston Rockets",97,112,2017
2016-11-05,"Detroit Pistons","Denver Nuggets",86,103,2017
2016-11-05,"Indiana Pacers","Chicago Bulls",94,111,2017
2016-11-05,"Milwaukee Bucks","Sacramento Kings",91,117,2017
2016-11-05,"Oklahoma City Thunder","Minnesota Timberwolves",92,112,2017
2016-11-05,"Orlando Magic","Washington Wizards",86,88,2017
2016-11-05,"Philadelphia 76ers","Cleveland Cavaliers",102,101,2017
2016-11-05,"San Antonio Spurs","Los Angeles Clippers",116,92,2017
2016-11-06,"Boston Celtics","Denver Nuggets",123,107,2017
2016-11-06,"Dallas Mavericks","Milwaukee Bucks",75,86,2017
2016-11-06,"Los Angeles Lakers","Phoenix Suns",108,119,2017
2016-11-06,"Memphis Grizzlies","Portland Trail Blazers",100,94,2017
2016-11-06,"New York Knicks","Utah Jazz",114,109,2017
2016-11-06,"Toronto Raptors","Sacramento Kings",96,91,2017
2016-11-07,"Chicago Bulls","Orlando Magic",80,112,2017
2016-11-07,"Charlotte Hornets","Indiana Pacers",100,122,2017
2016-11-07,"Golden State Warriors","New Orleans Pelicans",106,116,2017
2016-11-07,"Los Angeles Clippers","Detroit Pistons",82,114,2017
2016-11-07,"Oklahoma City Thunder","Miami Heat",85,97,2017
2016-11-07,"Philadelphia 76ers","Utah Jazz",109,84,2017
2016-11-07,"Washington Wizards","Houston Rockets",114,106,2017
2016-11-08,"Brooklyn Nets","Minnesota Timberwolves",110,119,2017
2016-11-08,"Cleveland Cavaliers","Atlanta Hawks",110,106,2017
2016-11-08,"Los Angeles Lakers","Dallas Mavericks",109,97,2017
2016-11-08,"Memphis Grizzlies","Denver Nuggets",107,108,2017
2016-11-08,"Portland Trail Blazers","Phoenix Suns",121,124,2017
2016-11-08,"Sacramento Kings","New Orleans Pelicans",94,102,2017
2016-11-09,"Atlanta Hawks","Chicago Bulls",107,115,2017
2016-11-09,"Charlotte Hornets","Utah Jazz",98,104,2017
2016-11-09,"Golden State Warriors","Dallas Mavericks",95,116,2017
2016-11-09,"Indiana Pacers","Philadelphia 76ers",115,122,2017
2016-11-09,"Los Angeles Clippers","Portland Trail Blazers",80,111,2017
2016-11-09,"New York Knicks","Brooklyn Nets",96,110,2017
